STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,METDIVFP
"31","039","00835841","31039",Cuming,Cuming County,
"53","069","01513275","53069",Wahkiakum,Wahkiakum County,
"35","011","00933054","35011",De Baca,De Baca County,
"31","109","00835876","31109",Lancaster,Lancaster County,
"31","129","00835886","31129",Nuckolls,Nuckolls County,
"46","099","01265772","46099",Minnehaha,Minnehaha County,
"48","327","01383949","48327",Menard,Menard County,
"06","091","00277310","06091",Sierra,Sierra County,
"21","053","00516873","21053",Clinton,Clinton County,
"39","063","01074044","39063",Hancock,Hancock County,
"48","189","01383880","48189",Hale,Hale County,
"01","027","00161539","01027",Clay,Clay County,
"48","011","01383791","48011",Armstrong,Armstrong County,
"39","003","01074015","39003",Allen,Allen County,
"13","189","00348794","13189",McDuffie,McDuffie County,
"55","111","01581115","55111",Sauk,Sauk County,
"05","137","00069902","05137",Stone,Stone County,
"41","063","01155135","41063",Wallowa,Wallowa County,
"42","007","01214112","42007",Beaver,Beaver County,
"28","061","00695754","28061",Jasper,Jasper County,
"29","083","00758496","29083",Henry,Henry County,
"08","109","00198170","08109",Saguache,Saguache County,
"37","037","01008544","37037",Chatham,Chatham County,
"49","033","01448030","49033",Rich,Rich County,
"40","001","01101788","40001",Adair,Adair County,
"39","085","01074055","39085",Lake,Lake County,
"51","775","01789074","51775",Salem,Salem city,
"51","121","01674630","51121",Montgomery,Montgomery County,
"47","065","01639749","47065",Hamilton,Hamilton County,
"35","035","00929104","35035",Otero,Otero County,
"35","003","00929108","35003",Catron,Catron County,
"01","091","00161572","01091",Marengo,Marengo County,
"56","023","01605076","56023",Lincoln,Lincoln County,
"29","011","00758460","29011",Barton,Barton County,
"48","057","01383814","48057",Calhoun,Calhoun County,
"51","735","01498436","51735",Poquoson,Poquoson city,
"54","075","01550044","54075",Pocahontas,Pocahontas County,
"48","077","01383824","48077",Clay,Clay County,
"51","095","01480135","51095",James City,James City County,
"31","101","00835872","31101",Keith,Keith County,
"31","137","00835890","31137",Phelps,Phelps County,
