team,logo_url
Anaheim Ducks,https://postmediavancouversun2.files.wordpress.com/2019/09/anaheim_ducks-primary-2014.jpg
Arizona Coyotes,https://postmediavancouversun2.files.wordpress.com/2019/09/arizona_coyotes-primary-2015.jpg
Boston Bruins,https://postmediavancouversun2.files.wordpress.com/2019/09/boston-bruins.jpg
Buffalo Sabres,https://postmediavancouversun2.files.wordpress.com/2019/09/buffalo-sabres.jpg
Calgary Flames,https://postmediavancouversun2.files.wordpress.com/2019/09/calgary-flames.jpg
Carolina Hurricanes,https://postmediavancouversun2.files.wordpress.com/2019/09/carolina-hurricanes.jpg
Chicago Blackhawks,https://postmediavancouversun2.files.wordpress.com/2019/09/chicago-blackhawks.jpg
Colorado Avalanche,https://postmediavancouversun2.files.wordpress.com/2019/09/colorado-avalanche.jpg
Columbus Blue Jackets,https://postmediavancouversun2.files.wordpress.com/2019/09/columbus-blue-jackets.jpg
Dallas Stars,https://postmediavancouversun2.files.wordpress.com/2019/09/dallas-stars.jpg
Detroit Red Wings,https://postmediavancouversun2.files.wordpress.com/2019/09/detroit-redwings.jpg
Edmonton Oilers,https://postmediavancouversun2.files.wordpress.com/2019/09/edmonton-oilers.jpg
Florida Panthers,https://postmediavancouversun2.files.wordpress.com/2019/09/florida-panthers.jpg
Los Angeles Kings,https://postmediavancouversun2.files.wordpress.com/2019/09/la-kings.jpg
Minnesota Wild,https://postmediavancouversun2.files.wordpress.com/2019/09/minnisota-wild.jpg
Montreal Canadiens,https://postmediavancouversun2.files.wordpress.com/2019/09/montreal-canadiens.jpg
Nashville Predators,https://postmediavancouversun2.files.wordpress.com/2019/09/nashville-predators.jpg
New Jersey Devils,https://postmediavancouversun2.files.wordpress.com/2019/09/nj-devils.jpg
New York Islanders,https://postmediavancouversun2.files.wordpress.com/2019/09/ny-islanders.jpg
New York Rangers,https://postmediavancouversun2.files.wordpress.com/2019/09/ny-rangers.jpg
Ottawa Senators,https://postmediavancouversun2.files.wordpress.com/2019/09/ottawa-senators.jpg
Philadelphia Flyers,https://postmediavancouversun2.files.wordpress.com/2019/09/philly-flyers.jpg
Pittsburgh Penguins,https://postmediavancouversun2.files.wordpress.com/2019/09/pittsburgh-penguins.jpg
San Jose Sharks,https://postmediavancouversun2.files.wordpress.com/2019/09/sj-sharks.jpg
St. Louis Blues,https://postmediavancouversun2.files.wordpress.com/2019/09/stlouis-blues.jpg
Tampa Bay Lightning,https://postmediavancouversun2.files.wordpress.com/2019/09/tampabay-lightning.jpg
Toronto Maple Leafs,https://postmediavancouversun2.files.wordpress.com/2019/09/toronto_maple_leafs-primary-2017.jpg
Vancouver Canucks,https://postmediavancouversun2.files.wordpress.com/2019/09/vancouver_canucks-primary-2020.jpg
Vegas Golden Knights,https://postmediavancouversun2.files.wordpress.com/2019/09/vegas_golden_knights-primary-2018.jpg
Washington Capitals,https://postmediavancouversun2.files.wordpress.com/2019/09/washington-capitals.jpg
Winnipeg Jets,https://postmediavancouversun2.files.wordpress.com/2019/09/winnipeg-jets.jpg
