event,billing_country,fsa,gov_rank
,CA,"0","1"
,CA,"1","1"
,CA,"2","1"
,CA,"3","1"
,CA,"4","1"
,CA,"5","1"
,CA,"6","1"
,CA,"8","1"
,CA,"9","1"
,CA,00A,"1"
,CA,00B,"1"
,CA,00E,"1"
,CA,00G,"1"
,CA,00H,"1"
,CA,00J,"1"
,CA,00K,"1"
,CA,00L,"1"
,CA,00M,"1"
,CA,00N,"1"
,CA,00P,"1"
,CA,00R,"1"
,CA,00S,"1"
,CA,00T,"1"
,CA,00V,"1"
,CA,00X,"1"
,CA,00Y,"1"
,CA,"10","1"
,CA,"12","1"
,CA,"13","1"
,CA,"18","1"
,CA,"20","1"
,CA,"21","1"
,CA,"23","1"
,CA,"24","1"
,CA,"25","1"
,CA,"26","1"
,CA,"30","1"
,CA,"40","1"
,CA,"45","1"
,CA,"48","1"
,CA,"60","1"
,CA,"70","1"
,CA,"80","1"
,CA,"87","1"
,CA,"88","1"
,CA,"92","1"
,CA,"93","1"
,CA,0H2,"1"
,CA,0R3,"1"
,CA,"100","1"
,CA,"112","1"
,CA,"113","1"
,CA,"119","1"
,CA,"122","1"
,CA,"123","1"
,CA,"129","1"
,CA,"131","1"
,CA,"136","1"
,CA,"140","1"
,CA,"143","1"
,CA,"170","1"
,CA,"177","1"
,CA,"190","1"
,CA,"191","1"
,CA,1B4,"1"
,CA,1KV,"1"
,CA,1LS,"1"
,CA,1M0,"1"
,CA,1P6,"1"
,CA,1X1,"1"
,CA,"200","1"
,CA,"206","1"
,CA,"234","1"
,CA,24R,"1"
,CA,"295","1"
,CA,2B9,"1"
,CA,2TB,"1"
,CA,2X5,"1"
,CA,"300","1"
,CA,"308","1"
,CA,"312","1"
,CA,"325","1"
,CA,"330","1"
,CA,"331","1"
,CA,"333","1"
,CA,"334","1"
,CA,"336","1"
,CA,"337","1"
,CA,"338","1"
,CA,"341","1"
,CA,"342","1"
,CA,"349","1"
,CA,"361","1"
,CA,36J,"1"
,CA,3GE,"1"
,CA,"440","1"
,CA,"450","1"
,CA,45J,"1"
,CA,"481","1"
,CA,"482","1"
,CA,"483","1"
,CA,"497","1"
,CA,"508","1"
,CA,"537","1"
,CA,"544","1"
,CA,"551","1"
,CA,"554","1"
,CA,"556","1"
,CA,"557","1"
,CA,"559","1"
,CA,"567","1"
,CA,"570","1"
,CA,"582","1"
,CA,"600","1"
,CA,"606","1"
,CA,"631","1"
,CA,"632","1"
,CA,"633","1"
,CA,"642","1"
,CA,"650","1"
,CA,"653","1"
,CA,"693","1"
,CA,6B0,"1"
,CA,6T6,"1"
,CA,"750","1"
,CA,"751","1"
,CA,"752","1"
,CA,"770","1"
,CA,"791","1"
,CA,"801","1"
,CA,"802","1"
,CA,80E,"1"
,CA,80P,"1"
,CA,"817","1"
,CA,"850","1"
,CA,"852","1"
,CA,"853","1"
,CA,"857","1"
,CA,"871","1"
,CA,"891","1"
,CA,"900","1"
,CA,"903","1"
,CA,"904","1"
,CA,"906","1"
,CA,"907","1"
,CA,"925","1"
,CA,"930","1"
,CA,"934","1"
,CA,"949","1"
,CA,"951","1"
,CA,"956","1"
,CA,"958","1"
,CA,"967","1"
,CA,"981","1"
