team,billing_county,county,,state_abbr,state_name,state_fips,geo_type,county_name,county_name_full,join,GEOID
Anaheim Ducks,"Orange, CA",Orange, CA,CA,California,06,County,Orange County,"Orange County, California",Orange County06,40111
Anaheim Ducks,"Riverside, CA",Riverside, CA,CA,California,06,County,Riverside County,"Riverside County, California",Riverside County06,47059
Anaheim Ducks,"San Diego, CA",San Diego, CA,CA,California,06,County,San Diego County,"San Diego County, California",San Diego County06,47059
Anaheim Ducks,"Imperial, CA",Imperial, CA,CA,California,06,County,Imperial County,"Imperial County, California",Imperial County06,31045
Anaheim Ducks,"Lafourche, LA",Lafourche, LA,LA,Louisiana,22,Parish,Lafourche Parish,"Lafourche Parish, Louisiana",Lafourche Parish22,48159
Anaheim Ducks,"Franklin, IN",Franklin, IN,IN,Indiana,18,County,Franklin County,"Franklin County, Indiana",Franklin County18,19025
Anaheim Ducks,"Nez Perce, ID",Nez Perce, ID,ID,Idaho,16,County,Nez Perce County,"Nez Perce County, Idaho",Nez Perce County16,12069
Anaheim Ducks,"Morgan, KY",Morgan, KY,KY,Kentucky,21,County,Morgan County,"Morgan County, Kentucky",Morgan County21,12069
Anaheim Ducks,"Forrest, MS",Forrest, MS,MS,Mississippi,28,County,Forrest County,"Forrest County, Mississippi",Forrest County28,19025
Anaheim Ducks,"Otoe, NE",Otoe, NE,NE,Nebraska,31,County,Otoe County,"Otoe County, Nebraska",Otoe County31,40111
Anaheim Ducks,"Morris, KS",Morris, KS,KS,Kansas,20,County,Morris County,"Morris County, Kansas",Morris County20,12069
Arizona Coyotes,"Maricopa, AZ",Maricopa, AZ,AZ,Arizona,04,County,Maricopa County,"Maricopa County, Arizona",Maricopa County04,12069
Arizona Coyotes,"Pima, AZ",Pima, AZ,AZ,Arizona,04,County,Pima County,"Pima County, Arizona",Pima County04,40111
Arizona Coyotes,"Pinal, AZ",Pinal, AZ,AZ,Arizona,04,County,Pinal County,"Pinal County, Arizona",Pinal County04,40111
Arizona Coyotes,"Yavapai, AZ",Yavapai, AZ,AZ,Arizona,04,County,Yavapai County,"Yavapai County, Arizona",Yavapai County04,39175
Arizona Coyotes,"Coconino, AZ",Coconino, AZ,AZ,Arizona,04,County,Coconino County,"Coconino County, Arizona",Coconino County04,19025
Arizona Coyotes,"Yuma, AZ",Yuma, AZ,AZ,Arizona,04,County,Yuma County,"Yuma County, Arizona",Yuma County04,39175
Arizona Coyotes,"Cochise, AZ",Cochise, AZ,AZ,Arizona,04,County,Cochise County,"Cochise County, Arizona",Cochise County04,19025
Arizona Coyotes,"El Paso, TX",El Paso, TX,TX,Texas,48,County,El Paso County,"El Paso County, Texas",El Paso County48,19025
Arizona Coyotes,"Navajo, AZ",Navajo, AZ,AZ,Arizona,04,County,Navajo County,"Navajo County, Arizona",Navajo County04,12069
