Team,county_state,state_fp,county_fp,geoid
Anaheim Ducks,"Orange County, CA",06,059,06059
Anaheim Ducks,"Riverside County, CA",06,065,06065
Anaheim Ducks,"San Diego County, CA",06,073,06073
Anaheim Ducks,"Imperial County, CA",06,025,06025
Anaheim Ducks,"Lafourche County, LA",22,057,22057
Anaheim Ducks,"Franklin County, IN",18,059,18059
Anaheim Ducks,"Nez Perce County, ID",16,069,16069
Anaheim Ducks,"Morgan County, KY",21,103,21103
Anaheim Ducks,"Forrest County, MS",28,035,28035
Anaheim Ducks,"Otoe County, NE",31,131,31131
Anaheim Ducks,"Morris County, KS",20,127,20127
Arizona Coyotes,"Maricopa County, AZ",04,013,04013
Arizona Coyotes,"Pima County, AZ",04,019,04019
Arizona Coyotes,"Pinal County, AZ",04,021,04021
Arizona Coyotes,"Yavapai County, AZ",04,025,04025
Arizona Coyotes,"Coconino County, AZ",04,005,04005
Arizona Coyotes,"Yuma County, AZ",04,027,04027
Arizona Coyotes,"Cochise County, AZ",04,003,04003
Arizona Coyotes,"El Paso County, TX",48,041,48041
Arizona Coyotes,"Navajo County, AZ",04,017,04017
Arizona Coyotes,"Doña Ana County, NM",35,013,35013
Arizona Coyotes,"Graham County, AZ",04,009,04009
Arizona Coyotes,"Otero County, NM",35,089,35089
Arizona Coyotes,"Apache County, AZ",04,001,04001
Arizona Coyotes,"Gila County, AZ",04,007,04007
Arizona Coyotes,"Greenlee County, AZ",04,011,04011
Arizona Coyotes,"Santa Cruz County, AZ",04,023,04023
Arizona Coyotes,"Grays Harbor County, WA",53,027,53027
Arizona Coyotes,"Jefferson County, ID",16,073,16073
Arizona Coyotes,"Grant County, NM",35,053,35053
Arizona Coyotes,"Hoonah-Angoon County, AK",02,105,02105
Arizona Coyotes,"Pondera County, MT",30,073,30073
Arizona Coyotes,"San Juan County, UT",49,111,49111
Arizona Coyotes,"Sanders County, MT",30,089,30089
Arizona Coyotes,"Rio Arriba County, NM",35,039,35039
Arizona Coyotes,"Ravalli County, MT",30,081,30081
Arizona Coyotes,"Cibola County, NM",35,006,35006
Arizona Coyotes,"Campbell County, SD",46,037,46037
Arizona Coyotes,"La Paz County, AZ",04,012,04012
Arizona Coyotes,"Sherman County, OR",41,181,41181
Arizona Coyotes,"Mason County, WA",53,125,53125
Arizona Coyotes,"Toole County, MT",30,101,30101
Arizona Coyotes,"Grand County, UT",49,049,49049
Arizona Coyotes,"Hanson County, SD",46,061,46061
Arizona Coyotes,"McDuffie County, GA",13,189,13189
Arizona Coyotes,"Hitchcock County, NE",31,087,31087
Arizona Coyotes,"Stanley County, SD",46,117,46117
Arizona Coyotes,"Emery County, UT",49,015,49015
Arizona Coyotes,"Cloud County, KS",20,029,20029
Arizona Coyotes,"Mason County, KY",21,125,21125
Arizona Coyotes,"Renville County, ND",38,129,38129
Arizona Coyotes,"Aleutians East County, AK",02,013,02013
Arizona Coyotes,"Phillips County, MT",30,107,30107
Arizona Coyotes,"Garfield County, MT",30,045,30045
Arizona Coyotes,"Mitchell County, KS",20,205,20205
Arizona Coyotes,"Edwards County, TX",48,047,48047
Arizona Coyotes,"Pend Oreille County, WA",53,051,53051
Boston Bruins,"Middlesex County, MA",25,007,25007
Boston Bruins,"Norfolk County, MA",25,021,25021
Boston Bruins,"Essex County, MA",25,009,25009
Boston Bruins,"Suffolk County, MA",25,025,25025
Boston Bruins,"Plymouth County, MA",25,149,25149
Boston Bruins,"Worcester County, MA",25,047,25047
Boston Bruins,"Bristol County, MA",25,005,25005
Boston Bruins,"Hillsborough County, NH",33,057,33057
Boston Bruins,"Rockingham County, NH",33,015,33015
Boston Bruins,"Hampden County, MA",25,013,25013
Boston Bruins,"Hartford County, CT",09,003,09003
Boston Bruins,"Providence County, RI",44,007,44007
Boston Bruins,"Barnstable County, MA",25,001,25001
Boston Bruins,"Cumberland County, ME",23,035,23035
Boston Bruins,"York County, ME",23,031,23031
Boston Bruins,"Merrimack County, NH",33,013,33013
Boston Bruins,"Strafford County, NH",33,017,33017
Boston Bruins,"Kent County, RI",44,001,44001
Boston Bruins,"Chittenden County, VT",50,007,50007
Boston Bruins,"Hampshire County, MA",25,015,25015
Boston Bruins,"Kennebec County, ME",23,011,23011
Boston Bruins,"New London County, CT",09,011,09011
Boston Bruins,"Berkshire County, MA",25,003,25003
Boston Bruins,"Androscoggin County, ME",23,001,23001
Boston Bruins,"Middlesex County, CT",09,007,09007
Boston Bruins,"Tolland County, CT",09,013,09013
Boston Bruins,"Washington County, RI",44,129,44129
Boston Bruins,"Penobscot County, ME",23,019,23019
Boston Bruins,"Grafton County, NH",33,009,33009
Boston Bruins,"Newport County, RI",44,005,44005
Boston Bruins,"Cheshire County, NH",33,005,33005
Boston Bruins,"Belknap County, NH",33,001,33001
Boston Bruins,"Albany County, NY",36,001,36001
Boston Bruins,"Washington County, VT",50,129,50129
Boston Bruins,"Oxford County, ME",23,017,23017
Boston Bruins,"Windham County, CT",09,015,09015
Boston Bruins,"Coos County, NH",33,007,33007
Boston Bruins,"Bristol County, RI",44,005,44005
Boston Bruins,"Rutland County, VT",50,021,50021
Boston Bruins,"Carroll County, NH",33,015,33015
Boston Bruins,"Windsor County, VT",50,027,50027
Boston Bruins,"Aroostook County, ME",23,003,23003
Boston Bruins,"Franklin County, MA",25,059,25059
Boston Bruins,"Sagadahoc County, ME",23,023,23023
Boston Bruins,"Dukes County, MA",25,007,25007
Boston Bruins,"Sullivan County, NH",33,153,33153
Boston Bruins,"Nantucket County, MA",25,019,25019
Boston Bruins,"Caledonia County, VT",50,005,50005
Boston Bruins,"Orleans County, VT",50,073,50073
Boston Bruins,"Lamoille County, VT",50,015,50015
Boston Bruins,"Waldo County, ME",23,027,23027
Boston Bruins,"Washington County, ME",23,129,23129
Boston Bruins,"Bennington County, VT",50,003,50003
Boston Bruins,"Windham County, VT",50,015,50015
Boston Bruins,"Orange County, VT",50,059,50059
Boston Bruins,"Lincoln County, ME",23,079,23079
Boston Bruins,"Knox County, ME",23,095,23095
Boston Bruins,"Hancock County, ME",23,141,23141
Boston Bruins,"Franklin County, ME",23,059,23059
Boston Bruins,"Addison County, VT",50,001,50001
Boston Bruins,"Somerset County, ME",23,025,23025
Boston Bruins,"Washington County, NY",36,129,36129
Boston Bruins,"Orleans County, LA",22,073,22073
Boston Bruins,"Piscataquis County, ME",23,021,23021
Boston Bruins,"Fulton County, NY",36,049,36049
Boston Bruins,"Essex County, VT",50,009,50009
Boston Bruins,"Union County, MS",28,139,28139
Boston Bruins,"Oconee County, GA",13,219,13219
Boston Bruins,"Rogers County, OK",40,131,40131
